#         t          x          y          z         vx         vy         vz
      8.770    172.072    119.543    165.759    132.534    -27.368     51.466
      8.780    173.394    119.267    166.270    131.829    -27.856     50.786
      8.790    174.709    118.986    166.775    131.126    -28.337     50.112
      8.800    176.016    118.701    167.272    130.425    -28.812     49.443
      8.810    177.317    118.410    167.763    129.727    -29.280     48.780
      8.820    178.611    118.115    168.248    129.031    -29.743     48.122
      8.830    179.898    117.815    168.726    128.337    -30.199     47.468
      8.840    181.178    117.511    169.197    127.646    -30.650     46.820
      8.850    182.451    117.202    169.662    126.957    -31.095     46.177
      8.860    183.717    116.889    170.121    126.270    -31.534     45.538
      8.870    184.976    116.572    170.573    125.586    -31.967     44.905
      8.880    186.228    116.250    171.019    124.903    -32.395     44.276
      8.890    187.474    115.924    171.459    124.223    -32.817     43.651
      8.900    188.713    115.594    171.892    123.545    -33.235     43.031
      8.910    189.945    115.259    172.319    122.870    -33.647     42.416
      8.920    191.170    114.921    172.740    122.196    -34.053     41.805
      8.930    192.389    114.578    173.155    121.525    -34.455     41.198
      8.940    193.601    114.232    173.564    120.855    -34.852     40.596
      8.950    194.806    113.881    173.967    120.188    -35.244     39.998
      8.960    196.005    113.527    174.364    119.523    -35.631     39.403
      8.970    197.197    113.169    174.755    118.860    -36.013     38.813
      8.980    198.382    112.807    175.141    118.198    -36.391     38.228
      8.990    199.561    112.441    175.520    117.539    -36.764     37.646
      9.000    200.733    112.071    175.894    116.882    -37.133     37.067
      9.010    201.898    111.698    176.261    116.227    -37.497     36.493
      9.020    203.057    111.321    176.623    115.573    -37.857     35.923
      9.030    204.210    110.941    176.980    114.922    -38.212     35.356
      9.040    205.356    110.557    177.331    114.272    -38.564     34.793
      9.050    206.495    110.170    177.676    113.624    -38.911     34.234
      9.060    207.628    109.779    178.015    112.978    -39.254     33.678
      9.070    208.755    109.385    178.349    112.334    -39.593     33.126
      9.080    209.875    108.987    178.678    111.692    -39.928     32.577
      9.090    210.989    108.586    179.001    111.051    -40.259     32.031
      9.100    212.096    108.182    179.318    110.413    -40.586     31.489
      9.110    213.197    107.774    179.631    109.776    -40.910     30.951
      9.120    214.291    107.364    179.937    109.140    -41.230     30.415
      9.130    215.380    106.950    180.239    108.507    -41.546     29.883
      9.140    216.461    106.533    180.535    107.875    -41.858     29.354
      9.150    217.537    106.113    180.826    107.245    -42.167     28.829
      9.160    218.606    105.690    181.112    106.616    -42.472     28.306
      9.170    219.669    105.263    181.392    105.989    -42.774     27.786
      9.180    220.726    104.834    181.667    105.363    -43.072     27.270
      9.190    221.777    104.402    181.938    104.740    -43.367     26.756
      9.200    222.821    103.967    182.203    104.117    -43.659     26.246
      9.210    223.859    103.529    182.463    103.496    -43.947     25.738
      9.220    224.891    103.088    182.717    102.877    -44.232     25.233
      9.230    225.917    102.644    182.967    102.260    -44.514     24.731
      9.240    226.936    102.198    183.212    101.643    -44.793     24.232
      9.250    227.949    101.748    183.452    101.029    -45.069     23.736
      9.260    228.957    101.296    183.687    100.415    -45.341     23.242
      9.270    229.958    100.841    183.917     99.803    -45.611     22.751
      9.280    230.953    100.384    184.142     99.193    -45.877     22.263
      9.290    231.942     99.924    184.362     98.584    -46.141     21.777
      9.300    232.924     99.461    184.577     97.976    -46.402     21.294
      9.310    233.901     98.996    184.788     97.370    -46.659     20.813
      9.320    234.872     98.528    184.994     96.765    -46.914     20.335
      9.330    235.836     98.058    185.195     96.161    -47.166     19.859
      9.340    236.795     97.585    185.391     95.559    -47.416     19.386
      9.350    237.748     97.109    185.582     94.958    -47.662     18.916
      9.360    238.694     96.631    185.769     94.358    -47.906     18.447
      9.370    239.635     96.151    185.951     93.759    -48.147     17.981
      9.380    240.569     95.669    186.129     93.162    -48.386     17.518
      9.390    241.498     95.183    186.302     92.566    -48.622     17.056
      9.400    242.421     94.696    186.470     91.971    -48.855     16.597
      9.410    243.337     94.206    186.634     91.377    -49.086     16.140
      9.420    244.248     93.714    186.793     90.785    -49.315     15.686
      9.430    245.153     93.220    186.947     90.193    -49.541     15.234
      9.440    246.052     92.724    187.097     89.603    -49.764     14.783
      9.450    246.945     92.225    187.243     89.014    -49.985     14.335
      9.460    247.832     91.724    187.384     88.426    -50.204     13.889
      9.470    248.714     91.221    187.521     87.839    -50.420     13.445
      9.480    249.589     90.715    187.653     87.254    -50.634     13.004
      9.490    250.459     90.208    187.781     86.669    -50.845     12.564
      9.500    251.323     89.699    187.904     86.085    -51.054     12.126
      9.510    252.181     89.187    188.023     85.503    -51.261     11.690
      9.520    253.033     88.673    188.138     84.921    -51.466     11.257
      9.530    253.879     88.158    188.249     84.340    -51.669     10.825
      9.540    254.719     87.640    188.355     83.761    -51.869     10.395
      9.550    255.554     87.120    188.456     83.182    -52.067      9.967
      9.560    256.383     86.599    188.554     82.604    -52.263      9.541
      9.570    257.206     86.075    188.647     82.028    -52.457      9.116
      9.580    258.024     85.550    188.736     81.452    -52.649      8.694
      9.590    258.835     85.022    188.821     80.877    -52.839      8.273
      9.600    259.641     84.493    188.902     80.303    -53.026      7.854
      9.610    260.441     83.962    188.978     79.730    -53.212      7.437
      9.620    261.236     83.429    189.051     79.158    -53.396      7.022
      9.630    262.025     82.894    189.119     78.586    -53.577      6.608
      9.640    262.808     82.357    189.183     78.016    -53.757      6.196
      9.650    263.585     81.819    189.243     77.446    -53.935      5.786
      9.660    264.357     81.278    189.298     76.877    -54.110      5.378
      9.670    265.122     80.736    189.350     76.309    -54.284      4.971
      9.680    265.883     80.193    189.398     75.742    -54.456      4.565
      9.690    266.637     79.647    189.442     75.176    -54.626      4.162
      9.700    267.386     79.100    189.481     74.610    -54.794      3.760
      9.710    268.130     78.551    189.517     74.045    -54.960      3.359
      9.720    268.867     78.001    189.548     73.481    -55.125      2.960
      9.730    269.599     77.449    189.576     72.917    -55.288      2.563
      9.740    270.325     76.895    189.600     72.355    -55.449      2.167
      9.750    271.046     76.340    189.619     71.793    -55.608      1.772
      9.760    271.761     75.783    189.635     71.231    -55.765      1.379
      9.770    272.471     75.225    189.647     70.671    -55.920      0.988
      9.780    273.175     74.665    189.655     70.110    -56.074      0.598
      9.790    273.873     74.103    189.659     69.551    -56.226      0.210
      9.800    274.566     73.540    189.659     68.992    -56.377     -0.178
      9.810    275.253     72.976    189.655     68.434    -56.526     -0.563
      9.820    275.934     72.410    189.648     67.877    -56.673     -0.948
      9.830    276.610     71.842    189.636     67.320    -56.818     -1.331
      9.840    277.281     71.273    189.621     66.763    -56.962     -1.712
      9.850    277.946     70.703    189.602     66.208    -57.104     -2.092
      9.860    278.605     70.131    189.579     65.652    -57.244     -2.471
      9.870    279.259     69.558    189.553     65.098    -57.383     -2.849
      9.880    279.907     68.984    189.522     64.544    -57.521     -3.225
      9.890    280.550     68.408    189.488     63.990    -57.656     -3.600
      9.900    281.187     67.830    189.450     63.437    -57.790     -3.974
      9.910    281.818     67.252    189.409     62.884    -57.923     -4.346
      9.920    282.444     66.672    189.363     62.332    -58.054     -4.718
      9.930    283.065     66.091    189.314     61.781    -58.184     -5.088
      9.940    283.680     65.508    189.262     61.230    -58.312     -5.456
      9.950    284.290     64.925    189.205     60.679    -58.438     -5.824
      9.960    284.894     64.340    189.145     60.129    -58.563     -6.190
      9.970    285.492     63.753    189.081     59.579    -58.686     -6.556
      9.980    286.085     63.166    189.014     59.030    -58.808     -6.920
      9.990    286.673     62.577    188.943     58.481    -58.929     -7.282
     10.000    287.255     61.987    188.868     57.932    -59.048     -7.644
     10.010    287.831     61.396    188.790     57.384    -59.166     -8.005
